,data,DATA,HORA
193,2022-01-13 04:12:00.000,2022-01-31,21:41:59.999
194,2022-01-13 07:26:59.999,2022-01-31,21:41:59.999
197,2022-01-13 08:31:00.000,2022-01-31,21:41:59.999
198,2022-01-13 09:23:59.999,2022-01-31,21:41:59.999
199,2022-01-13 10:04:59.999,2022-01-31,21:41:59.999
200,2022-01-13 11:18:00.000,2022-01-31,21:41:59.999
201,2022-01-13 12:32:00.000,2022-01-31,21:41:59.999
202,2022-01-13 18:08:00.000,2022-01-31,21:41:59.999
203,2022-01-13 22:56:00.000,2022-01-31,21:41:59.999
204,2022-01-14 00:03:00.000,2022-01-31,21:41:59.999
205,2022-01-14 00:23:00.000,2022-01-31,21:41:59.999
208,2022-01-14 01:17:59.999,2022-01-31,21:41:59.999
209,2022-01-14 02:45:00.000,2022-01-31,21:41:59.999
210,2022-01-14 03:14:00.000,2022-01-31,21:41:59.999
211,2022-01-14 04:30:00.000,2022-01-31,21:41:59.999
212,2022-01-14 04:31:59.999,2022-01-31,21:41:59.999
215,2022-01-14 05:34:00.000,2022-01-31,21:41:59.999
216,2022-01-14 05:41:00.000,2022-01-31,21:41:59.999
217,2022-01-14 06:19:00.000,2022-01-31,21:41:59.999
219,2022-01-14 07:26:59.999,2022-01-31,21:41:59.999
220,2022-01-14 08:09:00.000,2022-01-31,21:41:59.999
221,2022-01-14 09:59:59.999,2022-01-31,21:41:59.999
222,2022-01-14 10:04:59.999,2022-01-31,21:41:59.999
223,2022-01-14 10:56:00.000,2022-01-31,21:41:59.999
224,2022-01-14 11:16:00.000,2022-01-31,21:41:59.999
225,2022-01-14 11:50:00.000,2022-01-31,21:41:59.999
226,2022-01-14 11:54:00.000,2022-01-31,21:41:59.999
227,2022-01-14 12:05:00.000,2022-01-31,21:41:59.999
229,2022-01-14 12:57:00.000,2022-01-31,21:41:59.999
231,2022-01-14 13:19:00.000,2022-01-31,21:41:59.999
232,2022-01-14 13:24:59.999,2022-01-31,21:41:59.999
233,2022-01-14 15:00:00.000,2022-01-31,21:41:59.999
234,2022-01-14 15:32:00.000,2022-01-31,21:41:59.999
235,2022-01-14 16:17:59.999,2022-01-31,21:41:59.999
236,2022-01-14 17:07:59.999,2022-01-31,21:41:59.999
237,2022-01-15 11:56:59.999,2022-01-31,21:41:59.999
238,2022-01-15 12:25:00.000,2022-01-31,21:41:59.999
239,2022-01-15 15:41:59.999,2022-01-31,21:41:59.999
240,2022-01-15 17:11:59.999,2022-01-31,21:41:59.999
241,2022-01-15 18:09:00.000,2022-01-31,21:41:59.999
242,2022-01-15 18:44:00.000,2022-01-31,21:41:59.999
243,2022-01-15 23:13:00.000,2022-01-31,21:41:59.999
245,2022-01-15 23:54:59.999,2022-01-31,21:41:59.999
246,2022-01-16 00:41:00.000,2022-01-31,21:41:59.999
247,2022-01-16 01:49:59.999,2022-01-31,21:41:59.999
248,2022-01-16 02:51:00.000,2022-01-31,21:41:59.999
249,2022-01-16 04:17:00.000,2022-01-31,21:41:59.999
250,2022-01-16 04:44:59.999,2022-01-31,21:41:59.999
251,2022-01-16 06:41:00.000,2022-01-31,21:41:59.999
252,2022-01-16 09:46:59.999,2022-01-31,21:41:59.999
253,2022-01-16 10:24:59.999,2022-01-31,21:41:59.999
257,2022-01-16 11:09:59.999,2022-01-31,21:41:59.999
258,2022-01-16 11:11:59.999,2022-01-31,21:41:59.999
259,2022-01-16 11:36:00.000,2022-01-31,21:41:59.999
